address,operator_address,moniker,tier,allocation
terp126jdyc74p70ahzrf3wvaka7hmeke8g2n6m720s,terpvaloper126jdyc74p70ahzrf3wvaka7hmeke8g2ntym70p,AlxVoy ⚡ ANODE.TEAM,3,18
terp13nwzm5dfd26ue74jr6sc39gyn3qze0rjqwewne,terpvaloper13nwzm5dfd26ue74jr6sc39gyn3qze0rj33u6ng,BonyNode,3,18
terp17cxqykcmedcfdfudn8rrdczxjx2vzh6jf03ejh,terpvaloper17cxqykcmedcfdfudn8rrdczxjx2vzh6jcs5djx,AKNodes,3,18
terp1eff25w2su9zxhe9lzea65l9xyptv8saxr9x7ck,terpvaloper1eff25w2su9zxhe9lzea65l9xyptv8saxj6r2c8,🔥STAVR🔥 REStake ON✅,3,18
terp1f9te8y5uzryet8gu9su99uq8zxxzntfutgd6p3,terpvaloper1f9te8y5uzryet8gu9su99uq8zxxzntfu6hgwpq,ChainTools,3,18
terp1fak8qed3zu86d8hlmkdsee9h2xtutawl3ylw0r,terpvaloper1fak8qed3zu86d8hlmkdsee9h2xtutawlqm660j,Apollo,3,18
terp1frc5uauvs25cc53jhhrut0up8g554tmvyq7p3x,terpvaloper1frc5uauvs25cc53jhhrut0up8g554tmv4lm43h,KonsorTech,3,18
terp1g80p4suzrz4vqsvs3za0yqhqcphlvnjy00kanl,terpvaloper1g80p4suzrz4vqsvs3za0yqhqcphlvnjy7snfnw,Blackhox,3,18
terp1m6tvafexlugmnzt9hfkduepx2szhmc0qc4qcdz,terpvaloper1m6tvafexlugmnzt9hfkduepx2szhmc0qf29vdn,ITpro🚀,3,18
terp1mzns2fp4urelqxyjxyjelef34j9eynu8ckg3v6,terpvaloper1mzns2fp4urelqxyjxyjelef34j9eynu8ffd9vt,SerGo,3,18
terp1u9nx0mxq30h6dq99w6ptju09pz3m32jxn2l22c,terpvaloper1u9nx0mxq30h6dq99w6ptju09pz3m32jxz4672f,itrocket,3,18
terp10kq6fdfvddlwf29pxpf4g6y8ds786283wcxhjr,terpvaloper10kq6fdfvddlwf29pxpf4g6y8ds786283l8rrjj,cagie,2,6
terp13w9zq85yuk8jud83h2qncrzlsfq9s48kyws33r,terpvaloper13w9zq85yuk8jud83h2qncrzlsfq9s48k43493j,maxfoton,2,6
terp152v036x9h88sje6482spehqv5t6x3d2ne5q8a2,terpvaloper152v036x9h88sje6482spehqv5t6x3d2ngt9nam,AM Solutions,2,6
terp156vzjh57d6jzdqa87smrfrnae75j64njkg5j3q,terpvaloper156vzjh57d6jzdqa87smrfrnae75j64nj8h3x33,🌋uru🌋,2,6
terp157l6m32mwjmu5ue8txulkccamyuwqlglx3y0pa,terpvaloper157l6m32mwjmu5ue8txulkccamyuwqlglhwpmpv,BccNodes,2,6
terp15p8v9yldc3f6r60z7046atyvvyh7njd8ngz7k3,terpvaloper15p8v9yldc3f6r60z7046atyvvyh7njd8zh82kq,Shutdown - Please Redelegate,2,6
terp169g8s6qxjl5j6ap8yrrh3qpu9p5nh5hvhyskjq,terpvaloper169g8s6qxjl5j6ap8yrrh3qpu9p5nh5hvxm4zj3,Vitek73,2,6
terp16dugsamj5ys5fdzpp9gq66qk30uqr0l78h37nq,terpvaloper16dugsamj5ys5fdzpp9gq66qk30uqr0l7kg52n3,Hashbound Validations,2,6
terp17fq4f7vs5lu5fm3f7fms9xdj29amnevz9xaqst,terpvaloper17fq4f7vs5lu5fm3f7fms9xdj29amnevz5ec5s6,♻️ PureNodes 💻,2,6
terp17wvqnrqvx7q5wrpm428vp758rcvkff2p8vlu7x,terpvaloper17wvqnrqvx7q5wrpm428vp758rcvkff2pkn6g7h,kjnodes,2,6
terp180hsn543nxwe4u8y6mzg6ptmjujfql4reedsvs,terpvaloper180hsn543nxwe4u8y6mzg6ptmjujfql4rgxgyvp,"Deactivating, please undelegate",2,6
terp184utpxxzlgalyk9nlavxcg8fvpqctft28xv87l,terpvaloper184utpxxzlgalyk9nlavxcg8fvpqctft2kefn7w,Blockscope.net,2,6
